name,size,price,proof,type
SVEDKA STRAW LEMON 70,750 ML (Standard),10.99,70,Vodka
ABSOLUT MANDRIN VDK 80,1.75 L (Large),29.99,80,Vodka
ABSOLUT WATERMELON VDK 76,750 ML (Standard),21.99,76,Vodka
SVEDKA CITRON 70,1.75 L (Large),15.99,70,Vodka
ABSOLUT MANDRIN VDK 80,750 ML (Standard),21.99,80,Vodka
NEW AMSTERDAM COCONUT VDK 70,1.75 L (Large),23.99,70,Vodka
STOLI FLV RAZBERI 70,1.75 L (Large),29.99,70,Vodka
CIROC COCONUT VDK 70,1.75 L (Large),51.99,70,Vodka
GREY GOOSE LE CITRON 80,750 ML (Standard),27.99,80,Vodka
KETEL ONE ORANJE VDK 80,750 ML (Standard),21.99,80,Vodka
CIROC COCONUT VDK 70,750 ML (Standard),35.99,70,Vodka
STOLICHNAYA VODKA 80,750 ML (Standard),19.99,80,Vodka
KETEL ONE CITROEN VDK 80,750 ML (Standard),21.99,80,Vodka
SVEDKA MANGO PINEAPPLE 70,1.75 L (Large),15.99,70,Vodka
NEW AMSTERDAM GRAPEFRUIT VDK 70,750 ML (Standard),15.49,70,Vodka
ABSOLUT GRAPEFRUIT VDK 80,750 ML (Standard),21.99,80,Vodka
DEEP EDDY SWEET TEA VDK 70,750 ML (Standard),17.99,70,Vodka
DEEP EDDY RUBY RED VDK 70,750 ML (Standard),17.99,70,Vodka
LUKSUSOWA VODKA 80,750 ML (Standard),12.99,80,Vodka
SVEDKA RASPBERRY 70,1.75 L (Large),15.99,70,Vodka
SVEDKA MANGO PINEAPPLE 70,750 ML (Standard),10.99,70,Vodka
NEW AMSTERDAM GRAPEFRUIT VDK 70,1.75 L (Large),23.99,70,Vodka
NEW AMSTERDAM WATERMELON VDK 70,750 ML (Standard),15.49,70,Vodka
EFFEN VODKA 80,750 ML (Standard),22.99,80,Vodka
SMIRNOFF FLV PINEAPPLE 70,750 ML (Standard),14.99,70,Vodka
ABSOLUT LIME VDK 80,750 ML (Standard),21.99,80,Vodka
SVEDKA BLUE RASPBERRY 70,750 ML (Standard),10.99,70,Vodka
CIROC PEACH VDK 70,1.75 L (Large),51.99,70,Vodka
CIROC APPLE VDK 70,1.75 L (Large),51.99,70,Vodka
NEW AMSTERDAM GLUTEN FREE VDK 80,1.75 L (Large),21.99,80,Vodka
HAKU VODKA 80,750 ML (Standard),29.99,80,Vodka
NEW AMSTERDAM LEMON VDK 70,1.75 L (Large),23.99,70,Vodka
GREY GOOSE LA POIRE 80,750 ML (Standard),27.99,80,Vodka
GREY GOOSE L'ORANGE 80,750 ML (Standard),27.99,80,Vodka
DEEP EDDY VODKA 80,750 ML (Standard),17.99,80,Vodka
NEW AMSTERDAM PEACH VDK 70,750 ML (Standard),15.49,70,Vodka
STOLI FLV BLUEBERI 70,1.75 L (Large),29.99,70,Vodka
EFFEN BLOOD ORANGE VDK 75,750 ML (Standard),22.99,75,Vodka
GORDONS VODKA 80,1.75 L (Large),21.99,80,Vodka
STOLI FLV VANIL 70,750 ML (Standard),19.99,70,Vodka
CIROC RED BERRY VDK 70,1.75 L (Large),51.99,70,Vodka
NEW AMSTERDAM RASPBERRY VDK 70,1.75 L (Large),23.99,70,Vodka
PLUME & PETAL LEMON 40,Other,18.99,40,Vodka
GRAINGERS ORG VODKA 80,1.75 L (Large),22.99,80,Vodka
STOLI FLV LIME 75,750 ML (Standard),19.99,75,Vodka
CIROC PINEAPPLE VDK 70,1.75 L (Large),51.99,70,Vodka
BURNETTS CITRUS VDK 70,1.75 L (Large),14.99,70,Vodka
DEEP EDDY LIME VDK 70,1.75 L (Large),22.99,70,Vodka
RUSSIAN STND VODKA 80,750 ML (Standard),16.99,80,Vodka
NEW AMSTERDAM LEMON VDK 70,750 ML (Standard),15.49,70,Vodka
BELUGA VODKA 80,750 ML (Standard),34.99,80,Vodka
SKYY INF GEORGIA PEACH VDK 70,750 ML (Standard),13.99,70,Vodka
NEW AMSTERDAM COCONUT VDK 70,750 ML (Standard),15.49,70,Vodka
NEW AMSTERDAM MANGO VDK 70,1.75 L (Large),23.99,70,Vodka
SMIRNOFF FLV PEACH 70,1.75 L (Large),22.99,70,Vodka
STOLI FLV VANIL 70,1.75 L (Large),29.99,70,Vodka
PLUME & PETAL PEACH 40,Other,18.99,40,Vodka
