,name,size,price,proof,type
153,TITOS VODKA 80,1.75 L (Large),$29.99 ,80,Vodka
154,SMIRNOFF VODKA 80,1.75 L (Large),$19.99 ,80,Vodka
155,SVEDKA VODKA 80,1.75 L (Large),$15.99 ,80,Vodka
156,KETEL ONE VODKA 80,1.75 L (Large),$29.99 ,80,Vodka
157,SKYY VODKA 80,1.75 L (Large),$21.99 ,80,Vodka
158,TITOS VODKA 80,750 ML (Standard),$20.99 ,80,Vodka
159,NEW AMSTERDAM VODKA 80,1.75 L (Large),$19.99 ,80,Vodka
160,LUKSUSOWA VODKA 80,1.75 L (Large),$23.99 ,80,Vodka
161,STOLICHNAYA VODKA 80,1.75 L (Large),$29.99 ,80,Vodka
162,NEW AMSTERDAM PINK WHITNEY VDK 60,750 ML (Standard),$15.49 ,60,Vodka
163,TITOS VODKA 80,1 L,$26.99 ,80,Vodka
164,DEEP EDDY RUBY RED VDK 70,1.75 L (Large),$22.99 ,70,Vodka
165,ABSOLUT VODKA 80,1.75 L (Large),$28.99 ,80,Vodka
166,GREY GOOSE VODKA 80,750 ML (Standard),$27.99 ,80,Vodka
167,KETEL ONE VODKA 80,750 ML (Standard),$21.99 ,80,Vodka
168,GREY GOOSE VODKA 80,1 L,$36.99 ,80,Vodka
169,GREY GOOSE VODKA 80,1.75 L (Large),$46.99 ,80,Vodka
170,KETEL ONE PEACH ORNG VDK 60,750 ML (Standard),$19.99 ,60,Vodka
171,NEW AMSTERDAM VODKA 80,750 ML (Standard),$15.49 ,80,Vodka
172,SMIRNOFF FLV BLUEBERRY 70,1.75 L (Large),$22.99 ,70,Vodka
173,DEEP EDDY SWEET TEA VDK 70,1.75 L (Large),$22.99 ,70,Vodka
174,ABSOLUT CITRON VDK 80,1.75 L (Large),$29.99 ,80,Vodka
175,REYKA VODKA 80,1.75 L (Large),$35.99 ,80,Vodka
176,KETEL ONE CUC MINT VDK 60,750 ML (Standard),$19.99 ,60,Vodka
177,SMIRNOFF VODKA 100,1.75 L (Large),$41.99 ,100,Vodka
